Label_clean,Question Description,"Variable Name
(2023)","Variable Name
(2024)","Question Location
(2023)","Question Location
(2024)",Questionnaire Label,Label,2023 Availability,2024 Availability,Both Years,Value Scheme Detailed,Missing Scheme Detailed: SPSS,Field Code: SPSS,Domain,Level,Helper,Column_category
MAT\ACCESS_TO_DEVICES\STUDENTS_BRING_OWN_DEVICES,What access do the students have to digital devices? Students bring their own digital devices,ATBM04BD,ATBLM04BD,TQM-04Bd,TQM-04Bd,Teacher,MAT\ACCESS TO DEVICES\STUDENTS BRING OWN DEVICES (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
MAT\AGREE\CLEAR_ANSWERS,How much do you agree with these statements about your mathematics lessons? My teacher has clear answers to my questions,ASBM03C,ASBLM03C,SQMS-03c,SQMS-03c,Student,MAT\AGREE\CLEAR ANSWERS (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
MAT\AGREE\ENJOY_LEARNING_MATHEMATICS,How much do you agree with these statements about learning mathematics? I enjoy learning mathematics,ASBM02A,ASBLM02A,SQMS-02a,SQMS-02a,Student,MAT\AGREE\ENJOY LEARNING MATHEMATICS (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\ENJOY LEARNING MATHEMATICS,Background Questionnaire Variables
MAT\AGREE\GOOD_AT_WORKING_OUT_PROBLEMS,How much do you agree with these statements about mathematics? I am good at working out difficult mathematics problems,ASBM05E,ASBLM05E,SQMS-05e,SQMS-05e,Student,MAT\AGREE\GOOD AT WORKING OUT PROBLEMS (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\GOOD AT WORKING OUT PROBLEMS,Background Questionnaire Variables
MAT\AGREE\HARDER_FOR_ME_THAN_FOR_OTHERS,How much do you agree with these statements about mathematics? Mathematics is harder for me than for many of my classmates,ASBM05B,ASBLM05B,SQMS-05b,SQMS-05b,Student,MAT\AGREE\HARDER FOR ME THAN FOR OTHERS (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\HARDER FOR ME THAN FOR OTHERS,Background Questionnaire Variables
MAT\AGREE\JUST_NOT_GOOD_IN_MATH,How much do you agree with these statements about mathematics? I am just not good at mathematics,ASBM05C,ASBLM05C,SQMS-05c,SQMS-05c,Student,MAT\AGREE\JUST NOT GOOD IN MATH (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\JUST NOT GOOD IN MATH,Background Questionnaire Variables
MAT\AGREE\LEARN_INTERESTING_THINGS,How much do you agree with these statements about learning mathematics? I learn many interesting things in mathematics,ASBM02D,ASBLM02B,SQMS-02d,SQMS-02b,Student,MAT\AGREE\LEARN INTERESTING THINGS (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\LEARN INTERESTING THINGS,Background Questionnaire Variables
MAT\AGREE\LIKE_MATH_PROBLEMS,How much do you agree with these statements about learning mathematics? I like to solve mathematics problems,ASBM02G,ASBLM02E,SQMS-02g,SQMS-02e,Student,MAT\AGREE\LIKE MATH PROBLEMS (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\LIKE MATH PROBLEMS,Background Questionnaire Variables
MAT\AGREE\LIKE_MATHEMATICS,How much do you agree with these statements about learning mathematics? I like mathematics,ASBM02E,ASBLM02C,SQMS-02e,SQMS-02c,Student,MAT\AGREE\LIKE MATHEMATICS (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\LIKE MATHEMATICS,Background Questionnaire Variables
MAT\AGREE\LOOK_FORWARD_TO_MATH_LESSONS,How much do you agree with these statements about learning mathematics? I look forward to mathematics lessons,ASBM02H,ASBLM02F,SQMS-02h,SQMS-02f,Student,MAT\AGREE\LOOK FORWARD TO MATH LESSONS (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\LOOK FORWARD TO MATH LESSONS,Background Questionnaire Variables
MAT\AGREE\MATH_FAVORITE_SUBJECT,How much do you agree with these statements about learning mathematics? Mathematics is one of my favorite subjects,ASBM02I,ASBLM02G,SQMS-02i,SQMS-02g,Student,MAT\AGREE\MATH FAVORITE SUBJECT (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\MATH FAVORITE SUBJECT,Background Questionnaire Variables
MAT\AGREE\MATH_IS_BORING,How much do you agree with these statements about learning mathematics? Mathematics is boring,ASBM02C,,SQMS-02c,,Student,MAT\AGREE\MATH IS BORING (2023),✓,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\MATH IS BORING,Background Questionnaire Variables
MAT\AGREE\MATH_MAKES_ME_CONFUSED,How much do you agree with these statements about mathematics? Mathematics makes me confused,ASBM05G,ASBLM05G,SQMS-05g,SQMS-05g,Student,MAT\AGREE\MATH MAKES ME CONFUSED (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\MATH MAKES ME CONFUSED,Background Questionnaire Variables
MAT\AGREE\MATHEMATICS_HARDER_FOR_ME,How much do you agree with these statements about mathematics? Mathematics is harder for me than any other subject,ASBM05F,ASBLM05F,SQMS-05f,SQMS-05f,Student,MAT\AGREE\MATHEMATICS HARDER FOR ME (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\MATHEMATICS HARDER FOR ME,Background Questionnaire Variables
MAT\AGREE\MATHEMATICS_IS_EASY_FOR_ME,How much do you agree with these statements about mathematics? Mathematics is easy for me,ASBM05D,ASBLM05D,SQMS-05d,SQMS-05d,Student,MAT\AGREE\MATHEMATICS IS EASY FOR ME (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\MATHEMATICS IS EASY FOR ME,Background Questionnaire Variables
MAT\AGREE\SCHOOLWORK_INVOLVES_NUMBERS,How much do you agree with these statements about learning mathematics? I like any schoolwork that involves numbers,ASBM02F,ASBLM02D,SQMS-02f,SQMS-02d,Student,MAT\AGREE\SCHOOLWORK INVOLVES NUMBERS (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\SCHOOLWORK INVOLVES NUMBERS,Background Questionnaire Variables
MAT\AGREE\TEACHER_ASKS_TO_EXPLAIN,How much do you agree with these statements about your mathematics lessons? My teacher asks me to explain my answers,ASBM03I,ASBLM03I,SQMS-03i,SQMS-03i,Student,MAT\AGREE\TEACHER ASKS TO EXPLAIN (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
MAT\AGREE\TEACHER_ASKS_TO_SHOW,How much do you agree with these statements about your mathematics lessons? My teacher asks me to show what I have learned,ASBM03H,ASBLM03H,SQMS-03h,SQMS-03h,Student,MAT\AGREE\TEACHER ASKS TO SHOW (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
MAT\AGREE\TEACHER_DOES_A_VARIETY,How much do you agree with these statements about your mathematics lessons? My teacher does a variety of things to help us learn,ASBM03E,ASBLM03E,SQMS-03e,SQMS-03e,Student,MAT\AGREE\TEACHER DOES A VARIETY (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
MAT\AGREE\TEACHER_EXPLAINS_AGAIN,How much do you agree with these statements about your mathematics lessons? My teacher explains a topic again when we don’t understand,ASBM03F,ASBLM03F,SQMS-03f,SQMS-03f,Student,MAT\AGREE\TEACHER EXPLAINS AGAIN (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
MAT\AGREE\TEACHER_GIVES_FEEDBACK,How much do you agree with these statements about your mathematics lessons? My teacher gives me helpful feedback on my work,ASBM03G,ASBLM03G,SQMS-03g,SQMS-03g,Student,MAT\AGREE\TEACHER GIVES FEEDBACK (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
MAT\AGREE\TEACHER_GOOD_AT_EXPLAINING,How much do you agree with these statements about your mathematics lessons? My teacher is good at explaining mathematics,ASBM03D,ASBLM03D,SQMS-03d,SQMS-03d,Student,MAT\AGREE\TEACHER GOOD AT EXPLAINING (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
MAT\AGREE\TEACHER_IS_EASY_TO_UNDERSTAND,How much do you agree with these statements about your mathematics lessons? My teacher is easy to understand,ASBM03B,ASBLM03B,SQMS-03b,SQMS-03b,Student,MAT\AGREE\TEACHER IS EASY TO UNDERSTAND (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
MAT\AGREE\TEACHER_MAKES_IT_CLEAR,How much do you agree with these statements about your mathematics lessons? My teacher makes it clear what we should learn in each lesson,ASBM03A,ASBLM03A,SQMS-03a,SQMS-03a,Student,MAT\AGREE\TEACHER MAKES IT CLEAR (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
MAT\AGREE\USUALLY_DO_WELL_IN_MATH,How much do you agree with these statements about mathematics? I usually do well in mathematics,ASBM05A,ASBLM05A,SQMS-05a,SQMS-05a,Student,MAT\AGREE\USUALLY DO WELL IN MATH (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\USUALLY DO WELL IN MATH,Background Questionnaire Variables
MAT\AGREE\WISH_HAVE_NOT_TO_STUDY_MATH,How much do you agree with these statements about learning mathematics? I wish I did not have to study mathematics,ASBM02B,,SQMS-02b,,Student,MAT\AGREE\WISH HAVE NOT TO STUDY MATH (2023),✓,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,MAT\AGREE\WISH HAVE NOT TO STUDY MATH,Background Questionnaire Variables
MAT\ASK_STUDENTS\APPLY_WHAT_LEARNED,"In teaching mathematics to this class, how often do you ask students to do the following? Apply what they have learned to new problem situations on their own",ATBM02E,ATBLM02E,TQM-02e,TQM-02e,Teacher,MAT\ASK STUDENTS\APPLY WHAT LEARNED (2023),✓,✓,✓,1: Every or almost every lesson; 2: About half the lessons; 3: Some lessons; 4: Never,9: Omitted or invalid; Sysmis: Not administered,1: Every or almost every lesson; 2: About half the lessons; 3: Some lessons; 4: Never; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
MAT\ASK_STUDENTS\EXPLAIN_HOW_TO_SOLVE,"In teaching mathematics to this class, how often do you ask students to do the following? Listen to me explain how to solve problems",ATBM02B,ATBLM02B,TQM-02b,TQM-02b,Teacher,MAT\ASK STUDENTS\EXPLAIN HOW TO SOLVE (2023),✓,✓,✓,1: Every or almost every lesson; 2: About half the lessons; 3: Some lessons; 4: Never,9: Omitted or invalid; Sysmis: Not administered,1: Every or almost every lesson; 2: About half the lessons; 3: Some lessons; 4: Never; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
MAT\ASK_STUDENTS\EXPLAIN_NEW_MATHEMATICS,"In teaching mathematics to this class, how often do you ask students to do the following? Listen to me explain new mathematics content",ATBM02A,ATBLM02A,TQM-02a,TQM-02a,Teacher,MAT\ASK STUDENTS\EXPLAIN NEW MATHEMATICS (2023),✓,✓,✓,1: Every or almost every lesson; 2: About half the lessons; 3: Some lessons; 4: Never,9: Omitted or invalid; Sysmis: Not administered,1: Every or almost every lesson; 2: About half the lessons; 3: Some lessons; 4: Never; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
MAT\ASK_STUDENTS\MEMORIZE_RULES,"In teaching mathematics to this class, how often do you ask students to do the following? Memorize rules, procedures, and facts",ATBM02C,ATBLM02C,TQM-02c,TQM-02c,Teacher,MAT\ASK STUDENTS\MEMORIZE RULES (2023),✓,✓,✓,1: Every or almost every lesson; 2: About half the lessons; 3: Some lessons; 4: Never,9: Omitted or invalid; Sysmis: Not administered,1: Every or almost every lesson; 2: About half the lessons; 3: Some lessons; 4: Never; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
MAT\ASK_STUDENTS\MIXED_ABILITY,"In teaching mathematics to this class, how often do you ask students to do the following? Work in mixed ability groups",ATBM02G,ATBLM02G,TQM-02g,TQM-02g,Teacher,MAT\ASK STUDENTS\MIXED ABILITY (2023),✓,✓,✓,1: Every or almost every lesson; 2: About half the lessons; 3: Some lessons; 4: Never,9: Omitted or invalid; Sysmis: Not administered,1: Every or almost every lesson; 2: About half the lessons; 3: Some lessons; 4: Never; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
