Variable,Label,Question Location,Level,Width,Decimals,Range Minimum,Range Maximum,Value Scheme Detailed,Missing Scheme Detailed: SPSS,Missing Scheme Detailed: SAS,Field Code: SPSS,Field Code: SAS,Domain,Variable Class,Comment
ATBLM04BB,MAT\ACCESS TO DEVICES\CLASS HAS DEVICES TO SHARE (2024),TQM-04Bb,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Filter Dependent,BD,
ATBLM04BC,MAT\ACCESS TO DEVICES\SCHOOL HAS DEVICES (2024),TQM-04Bc,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Filter Dependent,BD,
ATBLM04BD,MAT\ACCESS TO DEVICES\STUDENTS BRING OWN DEVICES (2024),TQM-04Bd,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Filter Dependent,BD,
ATBLM04C,MAT\ACCESS TO DEVICES\HOW OFTEN (2024),TQM-04C,Ordinal,1,0,,,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Filter Dependent,BD,
ATBLM04DA,MAT\ACCESS TO DEVICES\HOW OFTEN\PRACTICE PROBLEMS (2024),TQM-04Da,Ordinal,1,0,,,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Filter Dependent,BD,
ATBLM04DB,MAT\ACCESS TO DEVICES\HOW OFTEN\EXTENDED PROBLEMS (2024),TQM-04Db,Ordinal,1,0,,,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Filter Dependent,BD,
ATBLM04DC,MAT\ACCESS TO DEVICES\HOW OFTEN\CREATE DATA DISPLAYS (2024),TQM-04Dc,Ordinal,1,0,,,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Filter Dependent,BD,
ATBLM04DD,MAT\ACCESS TO DEVICES\HOW OFTEN\PLAY GAMES (2024),TQM-04Dd,Ordinal,1,0,,,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Filter Dependent,BD,
ATBLM04DE,MAT\ACCESS TO DEVICES\HOW OFTEN\READ TEXTBOOK (2024),TQM-04De,Ordinal,1,0,,,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Filter Dependent,BD,
ATBLM04DF,MAT\ACCESS TO DEVICES\HOW OFTEN\TAKE A TEST (2024),TQM-04Df,Ordinal,1,0,,,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Filter Dependent,BD,
ATBLM05AA,MAT\TOPICS\NUMBER\WHOLE NUMBER ORDERING (2024),TQM-05Aa,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05AB,MAT\TOPICS\NUMBER\ADD SUBTRACT 4 DIGITS (2024),TQM-05Ab,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05AC,MAT\TOPICS\NUMBER\MULTIPLY 3 BY 1 AND 2 BY 2 DIGITS (2024),TQM-05Ac,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05AD,MAT\TOPICS\NUMBER\DIVIDE 3 BY 1 DIGITS (2024),TQM-05Ad,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05AE,MAT\TOPICS\NUMBER\ODD EVEN NUMBERS MULTIPLES FACTORS (2024),TQM-05Ae,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05AF,MAT\TOPICS\NUMBER\ROUND ESTIMATE (2024),TQM-05Af,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05AG,MAT\TOPICS\NUMBER\MISSING NUMBER OR OPERATION (2024),TQM-05Ag,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05AH,MAT\TOPICS\NUMBER\NUMBER PATTERNS (2024),TQM-05Ah,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05AI,MAT\TOPICS\NUMBER\COMPARE AND ORDER FRACTIONS (2024),TQM-05Ai,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05AJ,MAT\TOPICS\NUMBER\ADD AND SUBTRACT FRACTIONS (2024),TQM-05Aj,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05AK,MAT\TOPICS\NUMBER\COMPARE AND ORDER DECIMALS (2024),TQM-05Ak,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05AL,MAT\TOPICS\NUMBER\ADD AND SUBTRACT DECIMALS (2024),TQM-05Al,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05BA,MAT\TOPICS\GEOMETRY\SOLVING PROB LENGTH (2024),TQM-05Ba,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05BB,MAT\TOPICS\GEOMETRY\SOLVING PROB MASS VOLUME TIME (2024),TQM-05Bb,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05BC,MAT\TOPICS\GEOMETRY\FIND PERIMETER (2024),TQM-05Bc,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05BD,MAT\TOPICS\GEOMETRY\AREAS AND VOLUMES (2024),TQM-05Bd,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05BE,MAT\TOPICS\GEOMETRY\PARALLEL AND PERPENDICULAR LINES (2024),TQM-05Be,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05BF,MAT\TOPICS\GEOMETRY\COMPARE AND DRAW ANGLES (2024),TQM-05Bf,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05BG,MAT\TOPICS\GEOMETRY\TWO DIMENSIONAL SHAPES (2024),TQM-05Bg,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05BH,MAT\TOPICS\GEOMETRY\THREE DIMENSIONAL SHAPES (2024),TQM-05Bh,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05CA,MAT\TOPICS\DATA\READING AND INTERPRETING DATA (2024),TQM-05Ca,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05CB,MAT\TOPICS\DATA\CREATE OR COMPLETE DATA DISPLAYS (2024),TQM-05Cb,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM05CC,MAT\TOPICS\DATA\DRAWING CONCLUSIONS (2024),TQM-05Cc,Nominal,1,0,,,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; 9: Omitted or invalid; Sysmis: Not administered,1: Mostly taught before this year; 2: Mostly taught this year; 3: Not yet taught; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM06A,MAT\HOW OFTEN MATH HOMEWORK ASSIGNED (2024),TQM-06A,Ordinal,1,0,,,1: I do not Assign mathematics homework; 2: Less than once a week; 3: 1 or 2 times a week; 4: 3 or 4 times a week; 5: Every day,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: I do not Assign mathematics homework; 2: Less than once a week; 3: 1 or 2 times a week; 4: 3 or 4 times a week; 5: Every day; 9: Omitted or invalid; Sysmis: Not administered,1: I do not Assign mathematics homework; 2: Less than once a week; 3: 1 or 2 times a week; 4: 3 or 4 times a week; 5: Every day; .: Omitted or invalid; .A: Not administered,Filter,F,
ATBLM06BA,MAT\HOMEWORK\CORRECT (2024),TQM-06Ba,Ordinal,1,0,,,1: Always or almost always; 2: Sometimes; 3: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: Always or almost always; 2: Sometimes; 3: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Always or almost always; 2: Sometimes; 3: Never or almost never; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Filter Dependent,BD,
ATBLM06BB,MAT\HOMEWORK\DISCUSS HOMEWORK (2024),TQM-06Bb,Ordinal,1,0,,,1: Always or almost always; 2: Sometimes; 3: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: Always or almost always; 2: Sometimes; 3: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Always or almost always; 2: Sometimes; 3: Never or almost never; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Filter Dependent,BD,
ATBLM06BC,MAT\HOMEWORK\MONITOR COMPLETENESS (2024),TQM-06Bc,Ordinal,1,0,,,1: Always or almost always; 2: Sometimes; 3: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: Always or almost always; 2: Sometimes; 3: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Always or almost always; 2: Sometimes; 3: Never or almost never; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Filter Dependent,BD,
ATBLM06C,MAT\HOMEWORK\AVG STUDENT TIME (2024),TQM-06C,Nominal,1,0,,,1: 15 minutes or less; 2: 16-30 minutes; 3: 31-60 minutes; 4: More than 60 minutes,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered; .B: Logically not applicable,1: 15 minutes or less; 2: 16-30 minutes; 3: 31-60 minutes; 4: More than 60 minutes; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: 15 minutes or less; 2: 16-30 minutes; 3: 31-60 minutes; 4: More than 60 minutes; .: Omitted or invalid; .A: Not administered; .B: Logically not applicable,Background Questionnaire Variables,B,
ATBLM07A,MAT\IMPORTANCE STRATEGIES\OBSERVING STUDENTS (2024),TQM-07a,Ordinal,1,0,,,1: A lot; 2: Some; 3: None,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: A lot; 2: Some; 3: None; 9: Omitted or invalid; Sysmis: Not administered,1: A lot; 2: Some; 3: None; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM07B,MAT\IMPORTANCE STRATEGIES\ASKING STUDENTS (2024),TQM-07b,Ordinal,1,0,,,1: A lot; 2: Some; 3: None,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: A lot; 2: Some; 3: None; 9: Omitted or invalid; Sysmis: Not administered,1: A lot; 2: Some; 3: None; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM07C,MAT\IMPORTANCE STRATEGIES\SHORT ASSESSMENTS (2024),TQM-07c,Ordinal,1,0,,,1: A lot; 2: Some; 3: None,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: A lot; 2: Some; 3: None; 9: Omitted or invalid; Sysmis: Not administered,1: A lot; 2: Some; 3: None; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM07D,MAT\IMPORTANCE STRATEGIES\LONGER TESTS (2024),TQM-07d,Ordinal,1,0,,,1: A lot; 2: Some; 3: None,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: A lot; 2: Some; 3: None; 9: Omitted or invalid; Sysmis: Not administered,1: A lot; 2: Some; 3: None; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM07E,MAT\IMPORTANCE STRATEGIES\LONG-TERM PROJECTS (2024),TQM-07e,Ordinal,1,0,,,1: A lot; 2: Some; 3: None,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: A lot; 2: Some; 3: None; 9: Omitted or invalid; Sysmis: Not administered,1: A lot; 2: Some; 3: None; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM08AA,MAT\PROF DEVELOPMENT PAST\MATH CONTENT (2024),TQM-08Aa,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM08BA,MAT\PROF DEVELOPMENT FUTURE\MATH CONTENT (2024),TQM-08Ba,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM08AB,MAT\PROF DEVELOPMENT PAST\MATH PEDAGOGY (2024),TQM-08Ab,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM08BB,MAT\PROF DEVELOPMENT FUTURE\MATH PEDAGOGY (2024),TQM-08Bb,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM08AC,MAT\PROF DEVELOPMENT PAST\MATH CURRICULUM (2024),TQM-08Ac,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM08BC,MAT\PROF DEVELOPMENT FUTURE\MATH CURRICULUM (2024),TQM-08Bc,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM08AD,MAT\PROF DEVELOPMENT PAST\INTEGRATING TECHNOLOGY (2024),TQM-08Ad,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM08BD,MAT\PROF DEVELOPMENT FUTURE\INTEGRATING TECHNOLOGY (2024),TQM-08Bd,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM08AE,MAT\PROF DEVELOPMENT PAST\PROBLEM SOLVING SKILLS (2024),TQM-08Ae,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM08BE,MAT\PROF DEVELOPMENT FUTURE\PROBLEM SOLVING SKILLS (2024),TQM-08Be,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ATBLM08AF,MAT\PROF DEVELOPMENT PAST\MATH ASSESSMENT (2024),TQM-08Af,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
